,frequency,amplitude
69,1617.1875,-0.1482287345223407
70,1640.625,-0.15438700417829826
71,1664.0625,-0.16048862353623483
72,1687.5,-0.16650678676653635
73,1710.9375,-0.17242266264687828
74,1734.375,-0.1782245511114563
75,1757.8125,-0.1839068235487848
76,1781.2499999999998,-0.18946874883037457
77,1804.6875000000002,-0.19491330714757338
78,1828.1249999999998,-0.20024608033144586
79,1851.5625,-0.20547428276328622
80,1875.0,-0.21060596652190205
81,1898.4375,-0.2156494046988296
82,1921.875,-0.22061263385502428
83,1945.3125000000002,-0.22550312405396078
84,1968.7500000000002,-0.2303275432422977
85,1992.1874999999998,-0.23509158945315067
86,2015.6249999999998,-0.23979987506993894
87,2039.0624999999998,-0.24445585768565528
88,2062.5,-0.24906181859789445
89,2085.9375,-0.25361889136062465
90,2109.375,-0.25812713972990564
91,2132.8125,-0.26258567880300127
92,2156.25,-0.2669928275754505
93,2179.6875,-0.27134627749332474
94,2203.125,-0.27564326086505087
95,2226.5625,-0.27988070519388375
96,2250.0,-0.28405536380318
97,2273.4375,-0.2881639183956485
98,2296.8749999999995,-0.29220305427502824
99,2320.3125000000005,-0.29616951298285565
100,2343.75,-0.30006012953548744
101,2367.1875,-0.30387186210552153
102,2390.625,-0.30760182099655453
103,2414.0625,-0.31124730147970137
104,2437.5,-0.31480582205399643
105,2460.9375,-0.31827516662638944
106,2484.375,-0.32165342663276353
107,2507.8125,-0.32493903774000465
108,2531.25,-0.32813080571413344
109,2554.6874999999995,-0.3312279172270324
110,2578.1250000000005,-0.3342299334419741
111,2601.5625,-0.3371367666409084
112,2625.0,-0.33994864239759964
113,2648.4375,-0.342666051445342
114,2671.875,-0.34528969621839445
115,2695.3125000000005,-0.347820437047604
116,2718.7500000000005,-0.35025924230237077
117,2742.1875000000005,-0.3526071456172103
118,2765.6249999999995,-0.35486521196771525
119,2789.0624999999995,-0.35703451299617245
120,2812.4999999999995,-0.3591161108222327
121,2835.9375,-0.3611110487504635
122,2859.375,-0.36302034688389234
123,2882.8125,-0.3648450006745597
124,2906.25,-0.36658598081120974
125,2929.6875,-0.36824423341568074
126,2953.125,-0.3698206801175086
127,2976.5625,-0.3713162180436909
128,3000.0,-0.37273172000472043
129,3023.4375,-0.37406803517186643
130,3046.875,-0.37532599039270476
131,3070.3125000000005,-0.37650639208801406
132,3093.75,-0.37761002851022296
133,3117.1875,-0.3786376720739312
134,3140.6249999999995,-0.3795900814907288
135,3164.0624999999995,-0.3804680035135941
136,3187.5000000000005,-0.38127217417279197
137,3210.9375000000005,-0.38200331943689964
138,3234.375,-0.38266215526072245
139,3257.8125,-0.38324938700875966
140,3281.25,-0.3837657082915049
141,3304.6874999999995,-0.3842117993269745
142,3328.125,-0.3845883250222734
143,3351.5625,-0.3848959330261131
144,3375.0,-0.38513525200396215
145,3398.4375,-0.3853068903255386
146,3421.875,-0.38541143524921306
147,3445.3125,-0.3854494525774239
148,3468.75,-0.3854214866791673
149,3492.1875,-0.38532806075063325
150,3515.625,-0.38516967720862405
151,3539.0625,-0.3849468181594043
152,3562.4999999999995,-0.38465994592856245
153,3585.9375000000005,-0.38430950365574523
154,3609.3750000000005,-0.3838959159502263
155,3632.8125000000005,-0.38341958958317385
156,3656.2499999999995,-0.38288091417910575
157,3679.6874999999995,-0.3822802628742262
158,3703.125,-0.3816179929313153
159,3726.5625,-0.3808944463261009
160,3750.0,-0.3801099503322506
161,3773.4375,-0.37926481812212753
162,3796.875,-0.3783593493718532
163,3820.3125,-0.37739383082650274
164,3843.75,-0.37636853676193605
165,3867.1874999999995,-0.3752837292851442
166,3890.6250000000005,-0.37413965844472014
167,3914.0625000000005,-0.37293656216587856
168,3937.5000000000005,-0.3716746660646868
169,3960.9375000000005,-0.37035418322126146
170,3984.3749999999995,-0.3689753139976294
171,4007.8124999999995,-0.3675382459769659
172,4031.2499999999995,-0.36604315408525845
173,4054.6874999999995,-0.3644902009404985
174,4078.1249999999995,-0.3628795374594782
175,4101.5625,-0.36121130373474264
176,4125.0,-0.35948563017021645
177,4148.4375,-0.3577026388334806
178,4171.875,-0.3558624449516321
179,4195.3125,-0.3539651584562556
180,4218.75,-0.35201088548051873
181,4242.1875,-0.34999972973102583
182,4265.625,-0.347931793693419
183,4289.0625,-0.3458071796718781
184,4312.5,-0.34362599069499006
185,4335.9375,-0.34138833133488355
186,4359.375,-0.339094308481984
187,4382.8125,-0.33674403210092163
188,4406.25,-0.3343376159745241
189,4429.6875,-0.33187517843138564
